,price_raw,price_seas,price_resid
2026-01-05 16:00:00+00:00,7.088517286978473,7.068099670200774,0.020417616777699266
2026-01-05 17:00:00+00:00,7.106147015953586,7.065166354287682,0.04098066166590364
2026-01-05 18:00:00+00:00,7.108342334582936,7.054409449307536,0.05393288527540019
2026-01-05 19:00:00+00:00,7.065869522075829,7.0422510853472176,0.023618436728611414
2026-01-05 20:00:00+00:00,7.036869429943743,7.032598892774049,0.004270537169694499
2026-01-05 21:00:00+00:00,7.028830666672488,7.028914201396325,-8.353472383682004e-05
2026-01-05 22:00:00+00:00,7.020646368558093,7.017762041972495,0.002884326585597563
2026-01-05 23:00:00+00:00,7.016403384589075,7.013227171926408,0.0031762126626668774
2026-01-06 00:00:00+00:00,7.01211529430638,7.010640947537171,0.0014743467692088785
2026-01-06 01:00:00+00:00,7.007030315616061,7.008117296719301,-0.0010869811032403476
2026-01-06 02:00:00+00:00,7.004001384307864,7.004688078276052,-0.0006866939681877682
2026-01-06 03:00:00+00:00,7.002256040386663,7.005995371906107,-0.0037393315194442778
2026-01-06 04:00:00+00:00,7.003419941404619,7.013657434024433,-0.010237492619813437
2026-01-06 05:00:00+00:00,7.01397842246957,7.033472184365432,-0.019493761895861716
2026-01-06 06:00:00+00:00,7.0225739251745045,7.055254962077734,-0.0326810369032291
2026-01-06 07:00:00+00:00,7.050564746843677,7.071297943799574,-0.020733196955896815
2026-01-06 08:00:00+00:00,7.081632952993362,7.063804458174729,0.0178284948186338
2026-01-06 09:00:00+00:00,7.0705966564879645,7.0546925010026635,0.015904155485300997
2026-01-06 10:00:00+00:00,7.057579470183316,7.048655370822707,0.008924099360609006
2026-01-06 11:00:00+00:00,7.039590233468834,7.0435354260073,-0.003945192538465925
2026-01-06 12:00:00+00:00,7.0332066156984485,7.042352716081058,-0.009146100382609212
2026-01-06 13:00:00+00:00,7.0273766239121604,7.046030441471146,-0.01865381755898543
2026-01-06 14:00:00+00:00,7.027962041704292,7.054912369942893,-0.026950328238600996
2026-01-06 15:00:00+00:00,7.028936977081264,7.06311441042058,-0.03417743333931611
2026-01-06 16:00:00+00:00,7.040685240783395,7.075872188604364,-0.03518694782096876
